Department: Computer Science
Location: Technology Hall
Semester: Fall 2017

Courses Offered: 

	10001, CS 116
	10002, CS 133
	19003, CS 148
	10004, CS 151
	10095, CS 152
	10006, CS 163
	10007, CS 185
	19008, CS 186
	10009, CS 204
	10011, CS 217
	19991, CS 221
	10891, CS 227
	19001, CS 240
	10019, CS 242
	10099, CS 291
	10701, CS 292
	10071, CS 309
	10601, CS 317
	11701, CS 326
	12001, CS 330
	13071, CS 354
	14701, CS 361
	15001, CS 362
	16001, CS 364
	17071, CS 366
	18001, CS 369
	19301, CS 383
	10101, CS 390
	10231, CS 394
	10301, CS 395
	10401, CS 397
	10509, CS 408
	10691, CS 430
	10791, CS 442
	10801, CS 445
	10901, CS 465
	11001, CS 472
	12301, CS 497
	12031, CS 538
	13001, CS 551
	13031, CS 559
	11991, CS 564
	12931, CS 588
	15991, CS 595
	11111, CS 597


Classroom Preferences: 
	CS 291 must be taught in Technology Hall, room N327
	CS 326 must be taught in Technology Hall, room N308


Faculty Assignments: 
	A00000000, Dr. Able, CS 148, CS 227, CS 383 - Preference: None
	A00000400, Dr. Brovo, CS 361, CS 497, CS 597 - Preference: Evening classes only
	A00050000, Dr. Charlie, CS 152, CS 217, CS 309 - Preference: None
	A00000030, Dr. Dog, CS 317, CS 445, CS 551 - Preference: None
	A00200001, Dr. Echo, CS 185, CS 221, CS 330 - Preference: None
	A00100000, Dr. Foxtrot, CS 369, CS 408, CS 564 - Preference: None
	A00010000, Dr. Golf, CS 151, CS 242, CS 390 - Preference: None
	A10000000, Dr. Hotel, CS 395, CS 430, CS 595 - Preference: None
	A00000001, Dr. India, CS 186, CS 240, CS 354 - Preference: Evening classes only
	A00000010, Dr. Juliet, CS 362, CS 465, CS 588 - Preference: All Mon-Wed classes
	A00000110, Dr. Kilo, CS 116, CS 292, CS 366 - Preference: None
	A00011002, Dr. Lima, CS 397, CS 472, CS 559 - Preference: None
	A01000012, Dr. Mike, CS 133, CS 291, CS 394 - Preference: None
	A00010010, Dr. November, CS 326, CS 442, CS 538 - Preference: Morning classes only
	A00211011, Dr. Oscar, CS 163, CS 204, CS 364 - Preference: None


Class Length: 
	Duration: 60 minutes
	intermission: 15 minutes

Classrooms Available: 
	N304, N306, N308, N327, N324, N326, N329, N328, S104, N155
